DATE,WPU02120301
1990-01-01,108.4333333333333333
1990-04-01,107.5666666666666667
1990-07-01,95.0333333333333333
1990-10-01,90.1333333333333333
1991-01-01,90.3000000000000000
1991-04-01,93.5666666666666667
1991-07-01,93.9000000000000000
1991-10-01,100.1000000000000000
1992-01-01,112.5333333333333333
1992-04-01,110.1666666666666667
1992-07-01,102.8666666666666667
1992-10-01,104.2000000000000000
1993-01-01,107.6000000000000000
1993-04-01,106.1000000000000000
1993-07-01,104.3333333333333333
1993-10-01,109.4000000000000000
1994-01-01,110.4000000000000000
1994-04-01,107.9000000000000000
1994-07-01,103.7000000000000000
1994-10-01,111.4333333333333333
1995-01-01,109.0333333333333333
1995-04-01,113.9666666666666667
1995-07-01,127.8666666666666667
1995-10-01,132.8000000000000000
1996-01-01,135.0000000000000000
1996-04-01,148.1666666666666667
1996-07-01,128.8333333333333333
1996-10-01,122.9333333333333333
1997-01-01,118.4333333333333333
1997-04-01,120.0000000000000000
1997-07-01,113.5666666666666667
1997-10-01,111.7333333333333333
1998-01-01,108.8000000000000000
1998-04-01,108.8000000000000000
1998-07-01,102.7333333333333333
1998-10-01,106.4000000000000000
1999-01-01,104.1666666666666667
1999-04-01,101.8000000000000000
1999-07-01,101.8666666666666667
1999-10-01,99.3333333333333333
2000-01-01,100.0000000000000000
2000-04-01,100.4000000000000000
2000-07-01,100.6000000000000000
2000-10-01,104.4000000000000000
2001-01-01,105.3333333333333333
2001-04-01,106.9333333333333333
2001-07-01,107.3666666666666667
2001-10-01,109.4333333333333333
2002-01-01,109.9333333333333333
2002-04-01,107.8333333333333333
2002-07-01,116.3333333333333333
2002-10-01,119.6333333333333333
2003-01-01,120.4000000000000000
2003-04-01,121.5000000000000000
2003-07-01,120.6000000000000000
2003-10-01,120.2333333333333333
2004-01-01,124.1666666666666667
2004-04-01,126.0000000000000000
2004-07-01,124.9000000000000000
2004-10-01,128.6333333333333333
2005-01-01,129.9000000000000000
2005-04-01,129.3333333333333333
2005-07-01,130.2000000000000000
2005-10-01,132.2666666666666667
2006-01-01,132.4000000000000000
2006-04-01,141.9333333333333333
2006-07-01,144.7666666666666667
2006-10-01,150.4000000000000000
2007-01-01,145.8666666666666667
2007-04-01,156.4666666666666667
2007-07-01,179.2000000000000000
2007-10-01,215.3333333333333333
2008-01-01,270.7000000000000000
2008-04-01,252.4666666666666667
2008-07-01,224.2000000000000000
2008-10-01,189.0333333333333333
2009-01-01,186.4000000000000000
2009-04-01,188.2000000000000000
2009-07-01,170.9000000000000000
2009-10-01,168.5666666666666667
2010-01-01,166.3333333333333333
2010-04-01,163.7666666666666667
2010-07-01,183.6000000000000000
2010-10-01,198.5000000000000000
2011-01-01,217.4000000000000000
2011-04-01,223.7333333333333333
2011-07-01,221.9666666666666667
2011-10-01,213.4666666666666667
2012-01-01,214.1333333333333333
2012-04-01,216.1333333333333333
2012-07-01,229.9000000000000000
2012-10-01,234.2000000000000000
2013-01-01,224.7000000000000000
2013-04-01,226.6333333333333333
2013-07-01,221.4000000000000000
2013-10-01,221.3333333333333333
2014-01-01,227.9333333333333333
2014-04-01,229.9333333333333333
2014-07-01,225.3333333333333333
2014-10-01,227.1333333333333333
2015-01-01,214.1333333333333333
2015-04-01,212.9333333333333333
2015-07-01,198.9666666666666667
2015-10-01,193.3666666666666667
2016-01-01,193.3000000000000000
2016-04-01,194.5666666666666667
2016-07-01,184.6333333333333333
2016-10-01,186.8333333333333333
2017-01-01,187.5333333333333333
2017-04-01,187.6666666666666667
2017-07-01,202.4333333333333333
2017-10-01,194.4333333333333333
2018-01-01,194.6000000000000000
2018-04-01,197.1000000000000000
2018-07-01,193.8666666666666667
2018-10-01,193.4666666666666667
2019-01-01,192.5666666666666667
2019-04-01,190.9333333333333333
2019-07-01,186.8333333333333333
2019-10-01,191.8000000000000000
2020-01-01,193.8666666666666667
2020-04-01,192.3666666666666667
2020-07-01,191.1666666666666667
2020-10-01,195.6000000000000000
