DATE,PWHEAMTUSDM
1990-01-01,161.7946268717450000
1990-04-01,148.0769856770833333
1990-07-01,118.6820475260416667
1990-10-01,113.5379358927406667
1991-01-01,114.8852055867513333
1991-04-01,121.0250701904296667
1991-07-01,126.3031031290690000
1991-10-01,152.4201304117840000
1992-01-01,172.1453704833986667
1992-04-01,152.7620137532553333
1992-07-01,134.4077657063803333
1992-10-01,145.3277079264323333
1993-01-01,150.8116048177083333
1993-04-01,133.4636662801106667
1993-07-01,129.5379079182946667
1993-10-01,147.0343831380210000
1994-01-01,147.0964253743490000
1994-04-01,139.9681498209636667
1994-07-01,147.4699045817056667
1994-10-01,164.5988616943360000
1995-01-01,153.6730600992840000
1995-04-01,159.1903330485026667
1995-07-01,189.3832855224610000
1995-10-01,205.5946706136070000
1996-01-01,202.6174621428573333
1996-04-01,234.4457038250520000
1996-07-01,182.9548170450886667
1996-10-01,168.8976270393373333
1997-01-01,166.5566827108353333
1997-04-01,161.7238289682540000
1997-07-01,135.9979140798253333
1997-10-01,133.7727737367150000
1998-01-01,127.9648296666666667
1998-04-01,116.3053696560846667
1998-07-01,100.3983173429952333
1998-10-01,113.1905261122613333
1999-01-01,106.9158033089486667
1999-04-01,100.6280718783069667
1999-07-01,95.2782364285714000
1999-10-01,90.2216771739130333
2000-01-01,96.0619676119162333
2000-04-01,98.9699617632850333
2000-07-01,99.0732492960662000
2000-10-01,108.8508856111113333
2001-01-01,106.1246168888890000
2001-04-01,108.7848362249830000
2001-07-01,105.2480456473430000
2001-10-01,105.3344182761676667
2002-01-01,104.1927907777780000
2002-04-01,108.1037401835746667
2002-07-01,151.8669294708996667
2002-10-01,164.5063796560846667
2003-01-01,137.1285458138403333
2003-04-01,125.0859395238096667
2003-07-01,126.6368085714283333
2003-10-01,138.8237279748890000
2004-01-01,143.8573989515453333
2004-04-01,142.0368335672516667
2004-07-01,127.0879921666666667
2004-10-01,124.5813163584080000
2005-01-01,125.2881971257310000
2005-04-01,120.5640295502646667
2005-07-01,133.0363535685530000
2005-10-01,139.8067355026453333
2006-01-01,153.0828177807020000
2006-04-01,171.5773937134503333
2006-07-01,170.4733549444443333
2006-10-01,181.4209793174603333
2007-01-01,173.7157051666666667
2007-04-01,187.6930383835980000
2007-07-01,253.5470619666316667
2007-10-01,309.7839349152673333
2008-01-01,377.9345655264550000
2008-04-01,309.8100843386243333
2008-07-01,288.8804040105820000
2008-10-01,195.2448380967943333
2009-01-01,201.8671847660816667
2009-04-01,218.4628105000000000
2009-07-01,177.2701644708996667
2009-10-01,170.8297394890003333
2010-01-01,161.4825137161343333
2010-04-01,154.7888727989420000
2010-07-01,214.3493755740740000
2010-10-01,250.2988382248676667
2011-01-01,299.6550231159843333
2011-04-01,299.9156095795043333
2011-07-01,277.4970252010580000
2011-10-01,244.0622238068783333
2012-01-01,244.3921480000000000
2012-04-01,232.9772481084656667
2012-07-01,314.3159029348733333
2012-10-01,313.6354424194543333
2013-01-01,274.4102567477956667
2013-04-01,269.0220958333336667
2013-07-01,257.9661492222220000
2013-10-01,261.3466195767196667
2014-01-01,249.4637116374266667
2014-04-01,275.3150452380953333
2014-07-01,226.2930025132273333
2014-10-01,220.5238944117646667
2015-01-01,205.8183009795323333
2015-04-01,196.3277470291006667
2015-07-01,178.9347639153440000
2015-10-01,162.3831052840433333
2016-01-01,162.6519644444446667
2016-04-01,159.2140721693123333
2016-07-01,128.2862900683230000
2016-10-01,122.6515411471736667
2017-01-01,143.6462257862953333
2017-04-01,147.3646652339180000
2017-07-01,150.6655413574880000
2017-10-01,139.4979137328043333
2018-01-01,169.8653263742690000
2018-04-01,188.7198197354496667
2018-07-01,199.7475193517610000
2018-10-01,186.1832779467186667
2019-01-01,177.0894320662770000
2019-04-01,164.0031822989420000
2019-07-01,153.2700815555553333
2019-10-01,158.6679983641973333
2020-01-01,173.7825439250906667
2020-04-01,174.8079411455026667
2020-07-01,182.9646374867726667
2020-10-01,210.4975931161236667
